elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
0:42:56,2522,15:3:38,11923.1,69.530594,15.803485,9768.5,150400.0,12.1719,18.36,-9.3438,-113
0:42:59,2523,15:3:40,11923.1,69.530594,15.803485,9753.31,150400.0,12.1719,18.36,-9.3438,-114
0:43:1,2524,15:3:42,11923.1,69.530594,15.803485,9742.08,150400.0,12.1563,18.43,-9.3438,-116
1:14:14,2525,15:3:44,11923.1,69.530594,15.803485,9728.21,150400.0,12.1875,18.26,-9.3437,-125
1:14:17,2526,15:3:46,11923.1,69.530594,15.803485,9712.86,155570.16,12.2031,17.95,-9.3437,-119
0:59:59,2527,15:3:49,11923.1,69.530594,15.803485,9694.31,155570.16,12.1875,17.6,-9.3203,-113
1:14:21,2528,15:3:51,11923.1,69.530594,15.803485,9679.11,155570.16,12.2187,17.41,-9.3437,-118
1:0:3,2529,15:3:53,11923.1,69.530594,15.803485,9668.85,155570.16,12.2187,17.41,-9.3437,-114
1:14:25,2530,15:3:55,11923.1,69.530594,15.803485,9654.93,155570.16,12.2031,17.22,-9.3203,-114
0:43:16,2531,15:3:57,11923.1,69.530594,15.803485,9635.92,155570.16,12.25,17.15,-9.3203,-124
0:43:18,2532,15:3:59,11923.1,69.530594,15.803485,9621.83,155570.16,12.2031,16.77,-9.3203,-114
1:0:12,2533,15:4:2,11923.1,69.530594,15.803485,9607.86,155570.16,12.1719,16.5,-9.3203,-113
1:0:14,2534,15:4:4,11923.1,69.530594,15.803485,9592.75,155570.16,12.1875,16.32,-9.3047,-115
0:43:25,2535,15:4:6,11923.1,69.530594,15.803485,9576.43,155570.16,12.1016,16.14,-9.3359,-115
1:0:18,2536,15:4:8,11923.1,69.530594,15.803485,9563.44,155570.16,12.1016,16.14,-9.3359,-113
1:0:21,2537,15:4:10,11923.1,69.530594,15.803485,9552.71,155570.16,12.0547,15.68,-9.3047,-120
0:43:31,2538,15:4:13,11923.1,69.530594,15.803485,9539.86,155570.16,12.0313,15.71,-9.3047,-119
1:0:25,2539,15:4:15,11923.1,69.530594,15.803485,9521.21,155570.16,11.9844,15.62,-9.3047,-113
